Date,Open,High,Low,Close,Adj Close,Volume
2013-02-14,19.080000,19.080000,19.080000,19.080000,15.549789,0
2013-02-15,19.080000,19.080000,19.080000,19.080000,15.549789,0
2013-02-19,19.250000,19.250000,19.250000,19.250000,15.688334,0
2013-02-20,18.889999,18.889999,18.889999,18.889999,15.394947,0
2013-02-21,18.730000,18.730000,18.730000,18.730000,15.264543,0
2013-02-22,18.920000,18.920000,18.920000,18.920000,15.419390,0
2013-02-25,18.530001,18.530001,18.530001,18.530001,15.101546,0
2013-02-26,18.639999,18.639999,18.639999,18.639999,15.191200,0
2013-02-27,18.850000,18.850000,18.850000,18.850000,15.362343,0
2013-02-28,18.850000,18.850000,18.850000,18.850000,15.362343,0
2013-03-01,18.860001,18.860001,18.860001,18.860001,15.370492,0
2013-03-04,18.900000,18.900000,18.900000,18.900000,15.403093,0
2013-03-05,19.110001,19.110001,19.110001,19.110001,15.574237,0
2013-03-06,19.150000,19.150000,19.150000,19.150000,15.606838,0
2013-03-07,19.240000,19.240000,19.240000,19.240000,15.680186,0
2013-03-08,19.370001,19.370001,19.370001,19.370001,15.786130,0
2013-03-11,19.400000,19.400000,19.400000,19.400000,15.810578,0
2013-03-12,19.360001,19.360001,19.360001,19.360001,15.777987,0
2013-03-13,19.450001,19.450001,19.450001,19.450001,15.851326,0
2013-03-14,19.629999,19.629999,19.629999,19.629999,15.998023,0
2013-03-15,19.660000,19.660000,19.660000,19.660000,16.022472,0
2013-03-18,19.559999,19.559999,19.559999,19.559999,15.940981,0
2013-03-19,19.500000,19.500000,19.500000,19.500000,15.895331,0
2013-03-20,19.660000,19.660000,19.660000,19.660000,16.025753,0
2013-03-21,19.520000,19.520000,19.520000,19.520000,15.911636,0
2013-03-22,19.559999,19.559999,19.559999,19.559999,15.944240,0
2013-03-25,19.549999,19.549999,19.549999,19.549999,15.936083,0
2013-03-26,19.650000,19.650000,19.650000,19.650000,16.017599,0
2013-03-27,19.670000,19.670000,19.670000,19.670000,16.033905,0
2013-03-28,19.709999,19.709999,19.709999,19.709999,16.066507,0
2013-04-01,19.500000,19.500000,19.500000,19.500000,15.895331,0
2013-04-02,19.400000,19.400000,19.400000,19.400000,15.813811,0
2013-04-03,19.129999,19.129999,19.129999,19.129999,15.593720,0
2013-04-04,19.270000,19.270000,19.270000,19.270000,15.707847,0
2013-04-05,19.240000,19.240000,19.240000,19.240000,15.683393,0
2013-04-08,19.430000,19.430000,19.430000,19.430000,15.838263,0
2013-04-09,19.400000,19.400000,19.400000,19.400000,15.813811,0
2013-04-10,19.670000,19.670000,19.670000,19.670000,16.033905,0
2013-04-11,19.700001,19.700001,19.700001,19.700001,16.058367,0
2013-04-12,19.610001,19.610001,19.610001,19.610001,15.984999,0
2013-04-15,18.930000,18.930000,18.930000,18.930000,15.430698,0
2013-04-16,19.230000,19.230000,19.230000,19.230000,15.675242,0
2013-04-17,18.910000,18.910000,18.910000,18.910000,15.414394,0
2013-04-18,18.809999,18.809999,18.809999,18.809999,15.332876,0
2013-04-19,19.020000,19.020000,19.020000,19.020000,15.504064,0
2013-04-22,19.070000,19.070000,19.070000,19.070000,15.544817,0
2013-04-23,19.320000,19.320000,19.320000,19.320000,15.748603,0
2013-04-24,19.450001,19.450001,19.450001,19.450001,15.854570,0
2013-04-25,19.540001,19.540001,19.540001,19.540001,15.927938,0
2013-04-26,19.440001,19.440001,19.440001,19.440001,15.846418,0
2013-04-29,19.590000,19.590000,19.590000,19.590000,15.968692,0
2013-04-30,19.700001,19.700001,19.700001,19.700001,16.058367,0
2013-05-01,19.330000,19.330000,19.330000,19.330000,15.756755,0
2013-05-02,19.559999,19.559999,19.559999,19.559999,15.944240,0
2013-05-03,19.830000,19.830000,19.830000,19.830000,16.164326,0
2013-05-06,19.959999,19.959999,19.959999,19.959999,16.270296,0
2013-05-07,20.150000,20.150000,20.150000,20.150000,16.425179,0
2013-05-08,20.219999,20.219999,20.219999,20.219999,16.482233,0
2013-05-09,20.110001,20.110001,20.110001,20.110001,16.392569,0
2013-05-10,20.240000,20.240000,20.240000,20.240000,16.498531,0
2013-05-13,20.200001,20.200001,20.200001,20.200001,16.465929,0
2013-05-14,20.440001,20.440001,20.440001,20.440001,16.661572,0
2013-05-15,20.549999,20.549999,20.549999,20.549999,16.751228,0
2013-05-16,20.440001,20.440001,20.440001,20.440001,16.661572,0
2013-05-17,20.670000,20.670000,20.670000,20.670000,16.849047,0
2013-05-20,20.719999,20.719999,20.719999,20.719999,16.889805,0
2013-05-21,20.730000,20.730000,20.730000,20.730000,16.897955,0
2013-05-22,20.389999,20.389999,20.389999,20.389999,16.620808,0
2013-05-23,20.400000,20.400000,20.400000,20.400000,16.628958,0
2013-05-24,20.340000,20.340000,20.340000,20.340000,16.580055,0
2013-05-28,20.510000,20.510000,20.510000,20.510000,16.718624,0
2013-05-29,20.330000,20.330000,20.330000,20.330000,16.571901,0
2013-05-30,20.480000,20.480000,20.480000,20.480000,16.694166,0
2013-05-31,20.299999,20.299999,20.299999,20.299999,16.547445,0
2013-06-03,20.320000,20.320000,20.320000,20.320000,16.563747,0
2013-06-04,20.180000,20.180000,20.180000,20.180000,16.449627,0
2013-06-05,19.889999,19.889999,19.889999,19.889999,16.213236,0
2013-06-06,20.100000,20.100000,20.100000,20.100000,16.384420,0
2013-06-07,20.290001,20.290001,20.290001,20.290001,16.539295,0
2013-06-10,20.340000,20.340000,20.340000,20.340000,16.580055,0
2013-06-11,20.090000,20.090000,20.090000,20.090000,16.376268,0
2013-06-12,19.900000,19.900000,19.900000,19.900000,16.221390,0
2013-06-13,20.290001,20.290001,20.290001,20.290001,16.539295,0
2013-06-14,20.160000,20.160000,20.160000,20.160000,16.433321,0
2013-06-17,20.250000,20.250000,20.250000,20.250000,16.506687,0
2013-06-18,20.459999,20.459999,20.459999,20.459999,16.677862,0
2013-06-19,20.160000,20.160000,20.160000,20.160000,16.433321,0
2013-06-20,19.670000,19.670000,19.670000,19.670000,16.033905,0
2013-06-21,19.670000,19.670000,19.670000,19.670000,16.033905,0
2013-06-24,19.410000,19.410000,19.410000,19.410000,15.821965,0
2013-06-25,19.680000,19.680000,19.680000,19.680000,16.042053,0
2013-06-26,19.790001,19.790001,19.790001,19.790001,16.131721,0
2013-06-27,20.100000,20.100000,20.100000,20.100000,16.384420,0
2013-06-28,20.070000,20.070000,20.070000,20.070000,16.359966,0
2013-07-01,20.309999,20.309999,20.309999,20.309999,16.555595,0
2013-07-02,20.290001,20.290001,20.290001,20.290001,16.539295,0
2013-07-03,20.280001,20.280001,20.280001,20.280001,16.531143,0
2013-07-05,20.540001,20.540001,20.540001,20.540001,16.743082,0
2013-07-08,20.610001,20.610001,20.610001,20.610001,16.800140,0
2013-07-09,20.830000,20.830000,20.830000,20.830000,16.979475,0
2013-07-10,20.830000,20.830000,20.830000,20.830000,16.979475,0
2013-07-11,21.059999,21.059999,21.059999,21.059999,17.166958,0
2013-07-12,21.129999,21.129999,21.129999,21.129999,17.224020,0
